energy x y z iso ld ab c_grazing ld_grazing c_pure ld_pure
-1.942999999999999972e+01 4.012704674125371269e-04 4.012703956224193311e-04 2.775796895118448843e-04 3.600401841822671502e-04 1.236907420056334260e-04 4.012704315174782832e-04 2.972466189132837752e-04 1.040238126041944809e-04 2.775796895118448843e-04 1.236907420056334260e-04
-1.942000000000000171e+01 4.016878441837122104e-04 4.016877723033845655e-04 2.778706251422078505e-04 3.604154138764349116e-04 1.238171831013405375e-04 4.016878082435483880e-04 2.975576587815419562e-04 1.041301494620064318e-04 2.778706251422078505e-04 1.238171831013405375e-04
-1.941000000000000014e+01 4.020955666324181697e-04 4.020954946635512685e-04 2.781548914403159534e-04 3.607819842454285000e-04 1.239406392076687928e-04 4.020955306479847462e-04 2.978615547017864702e-04 1.042339759461983166e-04 2.781548914403159534e-04 1.239406392076687928e-04
-1.939999999999999858e+01 4.024950627574665966e-04 4.024949907014789552e-04 2.784334757408675129e-04 3.611411763999376702e-04 1.240615509886052901e-04 4.024950267294728030e-04 2.981593640746507332e-04 1.043356626548220563e-04 2.784334757408675129e-04 1.240615509886052901e-04
-1.939000000000000057e+01 4.028875829125144747e-04 4.028875107706037569e-04 2.787072425553849568e-04 3.614941120795010267e-04 1.241803042861741320e-04 4.028875468415590616e-04 2.984520127608556264e-04 1.044355340807034353e-04 2.787072425553849568e-04 1.241803042861741320e-04
-1.937999999999999901e+01 4.032742179712449642e-04 4.032741457444166591e-04 2.789769461313900377e-04 3.618417699490172564e-04 1.242972357264408010e-04 4.032741818578308387e-04 2.987403085317432610e-04 1.045338733260875778e-04 2.789769461313900377e-04 1.242972357264408010e-04
-1.937000000000000099e+01 4.036559162816778616e-04 4.036558439707697865e-04 2.792432421744296353e-04 3.621850008089591306e-04 1.244126379517942159e-04 4.036558801262238511e-04 2.990249536232403261e-04 1.046309265029835792e-04 2.792432421744296353e-04 1.244126379517942159e-04
-1.935999999999999943e+01 4.040334993809545968e-04 4.040334269866595568e-04 2.795066987131371024e-04 3.625245416935837339e-04 1.245267644706699473e-04 4.040334631838071039e-04 2.993065563720291198e-04 1.047269068117779298e-04 2.795066987131371024e-04 1.245267644706699473e-04
-1.935000000000000142e+01 4.044076764660821171e-04 4.044076039889678547e-04 2.797678061041962991e-04 3.628610288530821084e-04 1.246398341233287139e-04 4.044076402275250401e-04 2.995856419305746674e-04 1.048219982969503727e-04 2.797678061041962991e-04 1.246398341233287139e-04
-1.933999999999999986e+01 4.047790576364039181e-04 4.047789850769305145e-04 2.800269861881070398e-04 3.631950096338137880e-04 1.247520351685602036e-04 4.047790213566672163e-04 2.998626620726785514e-04 1.049163592839886920e-04 2.800269861881070398e-04 1.247520351685602036e-04
