energy x y z iso x_broadened y_broadened z_broadened iso_broadened
-1.926999999999999957e+01 4.513740368312957057e-06 4.513740368312957904e-06 4.514675541296956466e-06 4.514052092640957425e-06 3.034257161903813966e-05 3.034257161903813966e-05 3.034999990078144296e-05 3.034504771295257522e-05
-1.926000000000000156e+01 4.518901231544218633e-06 4.518901231544218633e-06 4.519840836627668164e-06 4.519214433238702374e-06 3.041259244707388522e-05 3.041259244707387844e-05 3.042005886938379413e-05 3.041508125451051814e-05
-1.925000000000000000e+01 4.524071085605795902e-06 4.524071085605795055e-06 4.525014742894455981e-06 4.524385638035350109e-06 3.048184757439850200e-05 3.048184757439850200e-05 3.048935213968023773e-05 3.048434909615907945e-05
-1.923999999999999844e+01 4.529249803866270874e-06 4.529249803866270874e-06 4.530197639991556103e-06 4.529565749241366233e-06 3.055036824902962169e-05 3.055036824902962169e-05 3.055791096471168351e-05 3.055288248759031574e-05
-1.923000000000000043e+01 4.534438019482713176e-06 4.534438019482712329e-06 4.535389781181796044e-06 4.534755273382406618e-06 3.061818424362779784e-05 3.061818424362779784e-05 3.062576512193716056e-05 3.062071120306424982e-05
-1.921999999999999886e+01 4.539634972666640271e-06 4.539634972666640271e-06 4.540591166465174954e-06 4.539953703932817934e-06 3.068532393955779710e-05 3.068532393955779710e-05 3.069294299730866102e-05 3.068786362547474948e-05
-1.921000000000000085e+01 4.544841296575120092e-06 4.544841296575120092e-06 4.545801795841691989e-06 4.545161462997310442e-06 3.075181440545671224e-05 3.075181440545671224e-05 3.075947166385209421e-05 3.075436682492184860e-05
-1.919999999999999929e+01 4.550056358051088943e-06 4.550056358051088096e-06 4.551021416048523870e-06 4.550378044050233354e-06 3.081768147070663348e-05 3.081768147070663348e-05 3.082537695515234484e-05 3.082024663218852823e-05
-1.919000000000000128e+01 4.555281296777260462e-06 4.555281296777260462e-06 4.556250280348493874e-06 4.555604291301004650e-06 3.088294979417904960e-05 3.088294979417904960e-05 3.089068353410972921e-05 3.088552770748927162e-05
-1.917999999999999972e+01 4.560515226333744286e-06 4.560515226333744286e-06 4.561488642004428668e-06 4.560839698223971848e-06 3.094764292858983630e-05 3.094764292858983630e-05 3.095541495730602205e-05 3.095023360482856262e-05
-1.917000000000000171e+01 4.565758399983367928e-06 4.565758399983367928e-06 4.566735867859263704e-06 4.566084222608666802e-06 3.101178338077694645e-05 3.101178338077694645e-05 3.101959373529292104e-05 3.101438683228226905e-05
-1.916000000000000014e+01 4.571010564463305570e-06 4.571010564463305570e-06 4.571992591070063530e-06 4.571337906665557658e-06 3.107539266818934226e-05 3.107539266818934226e-05 3.108324138909088587e-05 3.107800890848985454e-05
-1.914999999999999858e+01 4.576272226299206306e-06 4.576272226299206306e-06 4.577258558374003173e-06 4.576601003657471928e-06 3.113849137185343592e-05 3.113849137185343592e-05 3.114637850316473363e-05 3.114112041562386849e-05
-1.914000000000000057e+01 4.581543132228247707e-06 4.581543132228247707e-06 4.582534023033906757e-06 4.581873429163467390e-06 3.120109918606284090e-05 3.120109918606284090e-05 3.120902477512189427e-05 3.120374104908252988e-05
-1.912999999999999901e+01 4.586823662144666805e-06 4.586823662144666805e-06 4.587818605155536404e-06 4.587155309814956107e-06 3.126323496501885881e-05 3.126323496501885881e-05 3.127119906236033788e-05 3.126588966413268743e-05
-1.912000000000000099e+01 4.592113056259984453e-06 4.592113056259984453e-06 4.593112558001718776e-06 4.592446223507229510e-06 3.132491676663140014e-05 3.132491676663140014e-05 3.133291942587641392e-05 3.132758431971307818e-05
-1.910999999999999943e+01 4.597412454256919373e-06 4.597412454256919373e-06 4.598416008203865091e-06 4.597746972239234895e-06 3.138616189367489893e-05 3.138616189367489893e-05 3.139420317142663420e-05 3.138884231959214628e-05
-1.910000000000000142e+01 4.602720716452755383e-06 4.602720716452756230e-06 4.603728829130564132e-06 4.603056754012024966e-06 3.144698693247856199e-05 3.144698693247856199e-05 3.145506688822332947e-05 3.144968025106015567e-05
-1.908999999999999986e+01 4.608038729267382000e-06 4.608038729267381153e-06 4.609051020781815053e-06 4.608376159772193583e-06 3.150740778931745214e-05 3.150740778931745214e-05 3.151552648533034062e-05 3.151011402132175055e-05
-1.907999999999999829e+01 4.613365859543734679e-06 4.613365859543734679e-06 4.614382836420443671e-06 4.613704851835971010e-06 3.156743972465826746e-05 3.156743972465826746e-05 3.157559722591280263e-05 3.157015889174311026e-05
-1.907000000000000028e+01 4.618702740438877117e-06 4.618702740438876270e-06 4.619724149415036231e-06 4.619043210097596822e-06 3.162709738540228063e-05 3.162709738540228063e-05 3.163529375948395997e-05 3.162982951009616923e-05
-1.905999999999999872e+01 4.624049118689984344e-06 4.624049118689984344e-06 4.625074959765593580e-06 4.624391065715188270e-06 3.168639483525807017e-05 3.168639483525807017e-05 3.169463015228092003e-05 3.168913994093235797e-05
-1.905000000000000071e+01 4.629404741034232236e-06 4.629404741034232236e-06 4.630435014209289899e-06 4.629748165425918688e-06 3.174534558336592144e-05 3.174534558336592144e-05 3.175361991589225930e-05 3.174810369420804084e-05
-1.903999999999999915e+01 4.634770240628681102e-06 4.634770240628681102e-06 4.635804819271778519e-06 4.635115100176380241e-06 3.180396261128817917e-05 3.180396261128817917e-05 3.181227603425116772e-05 3.180673375227583750e-05
-1.903000000000000114e+01 4.640144984316271480e-06 4.640144984316270633e-06 4.641184248321643990e-06 4.640491405651396215e-06 3.186225839847069868e-05 3.186225839847069868e-05 3.187061098909961044e-05 3.186504259534700260e-05
-1.901999999999999957e+01 4.645529731885476588e-06 4.645529731885476588e-06 4.646573048096060493e-06 4.645877503955671788e-06 3.192024494627363818e-05 3.192024494627363818e-05 3.192863678402171537e-05 3.192304222552299047e-05
-1.901000000000000156e+01 4.650923596916407759e-06 4.650923596916407759e-06 4.651971978383506330e-06 4.651273057405440616e-06 3.197793380066234659e-05 3.197793380066234659e-05 3.198636496713738508e-05 3.198074418948736620e-05
-1.900000000000000000e+01 4.656327339197542444e-06 4.656327339197542444e-06 4.657380279395504047e-06 4.656678319263529363e-06 3.203533607364323304e-05 3.203533607364323304e-05 3.204380665254084296e-05 3.203815959994243408e-05
-1.898999999999999844e+01 4.661740705466054828e-06 4.661740705466054828e-06 4.662798204394880308e-06 4.662093205108997502e-06 3.209246246352318905e-05 3.209246246352318905e-05 3.210097254056273875e-05 3.209529915586969658e-05
-1.898000000000000043e+01 4.667163695721944909e-06 4.667163695721945756e-06 4.668225500118807602e-06 4.667517630520900269e-06 3.214932327406584174e-05 3.214932327406584174e-05 3.215787293692934265e-05 3.215217316168700193e-05
-1.896999999999999886e+01 4.672596563228038506e-06 4.672596563228038506e-06 4.673663052987177139e-06 4.672952059814418615e-06 3.220592843261281399e-05 3.220592843261281399e-05 3.221451777088669901e-05 3.220879154537078018e-05
-1.896000000000000085e+01 4.678039054721510648e-06 4.678039054721510648e-06 4.679109976580099402e-06 4.678396028674373283e-06 3.226228750723351252e-05 3.226228750723351252e-05 3.227091661235345686e-05 3.226516387560682730e-05
-1.894999999999999929e+01 4.683491170202358793e-06 4.683491170202358793e-06 4.684567030686049305e-06 4.683849790363589246e-06 3.231840972296259358e-05 3.231840972296258681e-05 3.232707868816144599e-05 3.232129937802886868e-05
-1.894000000000000128e+01 4.688953036301999239e-06 4.688953036301999239e-06 4.690033708779376906e-06 4.689313260461125128e-06 3.237430397718031946e-05 3.237430397718031269e-05 3.238301289743912337e-05 3.237720695059991851e-05
