energy x y z iso ld ab c_grazing ld_grazing c_pure ld_pure
-1.944999999999999929e+01 4.001733181812465738e-04 4.001731757951011107e-04 2.767711030768164339e-04 3.590391990177214270e-04 1.234021439113574625e-04 4.001732469881738694e-04 2.963921451446240528e-04 1.037811018435498436e-04 2.767711030768164339e-04 1.234021439113574625e-04
-1.944000000000000128e+01 4.006148380581770374e-04 4.006146955383421823e-04 2.770786829007192554e-04 3.594360721657461765e-04 1.235360838975403815e-04 4.006147667982596370e-04 2.967210215361565460e-04 1.038937452621030774e-04 2.770786829007192554e-04 1.235360838975403815e-04
-1.942999999999999972e+01 4.010432437324378398e-04 4.010431010836779564e-04 2.773772027580523564e-04 3.598211825247226814e-04 1.236659696500055417e-04 4.010431724080578981e-04 2.970401933346338810e-04 1.040029790734240035e-04 2.773772027580523564e-04 1.236659696500055417e-04
-1.942000000000000171e+01 4.014603764752586504e-04 4.014602337016760889e-04 2.776679355058271517e-04 3.601961818942539637e-04 1.237923695826401637e-04 4.014603050884673154e-04 2.973510237753415652e-04 1.041092813131257503e-04 2.776679355058271517e-04 1.237923695826401637e-04
-1.941000000000000014e+01 4.018678603316939405e-04 4.018677174368076956e-04 2.779520038372336292e-04 3.605625272019117190e-04 1.239157850470171888e-04 4.018677888842508181e-04 2.976547152667808152e-04 1.042130736174700029e-04 2.779520038372336292e-04 1.239157850470171888e-04
-1.939999999999999858e+01 4.022671224936329561e-04 4.022669794804486533e-04 2.782303943648351918e-04 3.609214987796389518e-04 1.240366566222056400e-04 4.022670509870408047e-04 2.979523244739482350e-04 1.043147265130925697e-04 2.782303943648351918e-04 1.240366566222056400e-04
-1.939000000000000057e+01 4.026594126081830616e-04 4.026592694792575748e-04 2.785039709678720091e-04 3.612742176851042332e-04 1.241553700758483362e-04 4.026593410437203182e-04 2.982447766134556453e-04 1.044145644302647136e-04 2.785039709678720091e-04 1.241553700758483362e-04
-1.937999999999999901e+01 4.030458209325893100e-04 4.030456776900872488e-04 2.787734873422468619e-04 3.616216619883078250e-04 1.242722619690914717e-04 4.030457493113383336e-04 2.985328788947038217e-04 1.045128704166345255e-04 2.787734873422468619e-04 1.242722619690914717e-04
-1.937000000000000099e+01 4.034272952789635372e-04 4.034271519247091802e-04 2.790395987139763145e-04 3.619646819725496592e-04 1.243876248878600442e-04 4.034272236018363587e-04 2.988173330651114562e-04 1.046098905367248753e-04 2.790395987139763145e-04 1.243876248878600442e-04
-1.935999999999999943e+01 4.038046567201915315e-04 4.038045132557147423e-04 2.793028726963017153e-04 3.623040142240693297e-04 1.245017122916514216e-04 4.038045849879531098e-04 2.990987470381877944e-04 1.047058379497653425e-04 2.793028726963017153e-04 1.245017122916514216e-04
-1.935000000000000142e+01 4.041786140525014922e-04 4.041784704790761539e-04 2.795637992873353534e-04 3.626402946063043693e-04 1.246147429784534425e-04 4.041785422657887959e-04 2.993776456011045623e-04 1.048008966646842336e-04 2.795637992873353534e-04 1.246147429784534425e-04
-1.933999999999999986e+01 4.045497770304511370e-04 4.045496333491330459e-04 2.798228000191273798e-04 3.629740701329038362e-04 1.247269051706647387e-04 4.045497051897921185e-04 2.996544802134276718e-04 1.048952249763644468e-04 2.798228000191273798e-04 1.247269051706647387e-04
-1.932999999999999829e+01 4.049186684067447085e-04 4.049185246184017683e-04 2.800802362805512109e-04 3.633058097685659140e-04 1.248383602320221088e-04 4.049185965125732655e-04 2.999296379209969994e-04 1.049889585915763068e-04 2.800802362805512109e-04 1.248383602320221088e-04
